,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Tateyama,JP,34.9833,139.8667,62.1,81,100,14.9,overcast clouds
344,Hualmay,PE,-11.0964,-77.6139,65.95,86,26,8.77,scattered clouds
345,Santa Maria,BR,-29.6842,-53.8069,65.5,82,75,2.3,broken clouds
346,Talcahuano,CL,-36.7167,-73.1167,56.88,94,100,9.22,overcast clouds
347,Dunedin,NZ,-45.8742,170.5036,48.79,86,87,1.99,overcast clouds
348,Piuma,BR,-20.8378,-40.7219,68.56,76,40,7.43,scattered clouds
349,Simpang,ID,-1.2667,104.0833,76.59,98,99,2.98,overcast clouds
350,Jumla,NP,29.2747,82.1838,55.69,80,78,1.5,broken clouds
351,Catuday,PH,16.2923,119.8062,81.37,73,1,8.41,clear sky
352,Port Shepstone,ZA,-30.7414,30.455,63.59,81,50,5.19,scattered clouds
353,Chum Phae,TH,16.5443,102.0992,77.36,85,99,2.33,overcast clouds
354,Poum,NC,-20.2333,164.0167,76.48,69,12,10.04,few clouds
355,Vao,NC,-22.6667,167.4833,73.81,70,63,16.11,broken clouds
356,Margate,GB,51.3813,1.3862,61.7,64,100,5.01,overcast clouds
357,Port Blair,IN,11.6667,92.75,82.81,82,100,15.32,overcast clouds
358,Salamina,GR,37.9643,23.4965,63.54,28,0,2.3,clear sky
359,Svetlyy,RU,54.675,20.1347,41.97,72,24,8.03,few clouds
360,Biltine,TD,14.5333,20.9167,86.34,9,9,1.92,clear sky
361,General Roca,AR,-39.0333,-67.5833,60.26,38,35,7.74,scattered clouds
362,Kelso,US,46.1468,-122.9084,52.59,80,100,5.01,light rain
363,Faanui,PF,-16.4833,-151.75,82.15,72,12,12.82,light rain
364,Denpasar,ID,-8.65,115.2167,82.06,88,40,8.05,scattered clouds
365,Rocha,UY,-34.4833,-54.3333,55.24,92,97,2.62,overcast clouds
366,Sistranda,NO,63.7256,8.834,51.76,81,100,8.43,light rain
367,Kenai,US,60.5544,-151.2583,54.03,40,40,19.57,scattered clouds
368,Okha,RU,53.5739,142.9478,33.75,99,100,9.46,overcast clouds
369,Kijang,KR,35.2442,129.2139,56.93,61,100,14.76,overcast clouds
370,Parana,AR,-31.732,-60.5238,65.55,69,100,5.91,overcast clouds
371,Beringovskiy,RU,63.05,179.3167,36.55,72,14,6.22,few clouds
372,Acari,PE,-15.4311,-74.6158,69.13,75,28,4.97,scattered clouds
