City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Sikonge,TZ,66.99,scattered clouds,-5.6333,32.7667,Pretoria 2 Lodge
629,Garissa,KE,77.81,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
630,Surman,LY,64.54,broken clouds,32.7567,12.5716,عمارة السفير
632,Pedreiras,BR,73.35,broken clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
635,High Rock,BS,77.02,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
644,Seoul,KR,60.24,clear sky,37.5683,126.9778,롯데호텔 서울
646,Bondoukou,CI,74.52,overcast clouds,8.0333,-2.8,Prestige Hotel
650,Monte Alegre,BR,75.04,broken clouds,-2.0078,-54.0692,Hotel Shekinah
651,Ilam,NP,66.38,overcast clouds,26.9167,87.9167,चियाबारी कटेज
652,Chai Badan,TH,79.63,overcast clouds,15.2,101.1333,Narai Grand Hotel
654,Quesada,CR,75.61,broken clouds,10.3238,-84.4271,Legacy Boutique Hotel
658,Surt,LY,64.9,scattered clouds,31.2089,16.5887,الهادي ابوشعاله سرت
660,Stamford,US,69.35,clear sky,41.0534,-73.5387,Stamford Marriott Hotel & Spa
664,Mawlaik,MM,75.24,overcast clouds,23.6333,94.4167,AKZ Guest House
667,Asfi,MA,68.2,clear sky,32.2994,-9.2372,Hôtel Abda
668,Iquique,CL,62.64,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
669,Ayame,CI,75.67,overcast clouds,5.6083,-3.1563,Hotel Bossan
673,Sechura,PE,70.5,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
